c,theta,network,optimal_tau
0.08,0.7000000000000001,G3,0.08743687483497593
0.08,0.8,G1,0.01472433784886625
0.08,0.8,G2,0.11390223877663135
0.08,0.8,G3,0.07880821230172275
0.08,0.9,G1,0.013447401613265152
0.08,0.9,G2,0.10373546682430296
0.08,0.9,G3,0.07166314066944017
0.08,1.0,G1,0.012373741092726204
0.08,1.0,G2,0.09550928662066774
0.08,1.0,G3,0.06570466495704493
0.08,1.1,G1,0.011466081811080664
0.08,1.1,G2,0.08874901461383457
0.08,1.1,G3,0.06069864631178078
0.08,1.2000000000000002,G1,0.01069223359749617
0.08,1.2000000000000002,G2,0.08311353456057795
0.08,1.2000000000000002,G3,0.05645797216495724
0.08,1.3,G1,0.010025700112944005
0.08,1.3,G2,0.07835721079881866
0.08,1.3,G3,0.05283662136615866
0.08,1.4000000000000001,G1,0.009450060076119154
0.08,1.4000000000000001,G2,0.07429812052040417
0.08,1.4000000000000001,G3,0.049724437124758526
0.08,1.5,G1,0.008945021585312905
0.08,1.5,G2,0.0708039016381094
0.08,1.5,G3,0.04702466353535626
0.08,1.6,G1,0.00850404422052067
0.08,1.6,G2,0.06777188125524128
0.08,1.6,G3,0.04467531144753934
0.08,1.7000000000000002,G1,0.008111338464039882
0.08,1.7000000000000002,G2,0.06511882972369577
0.08,1.7000000000000002,G3,0.042613002186852954
0.08,1.8,G1,0.007765468423017619
0.08,1.8,G2,0.06278252106356799
0.08,1.8,G3,0.04079375746121894
0.08,1.9000000000000001,G1,0.0074571240165729625
0.08,1.9000000000000001,G2,0.060711743529285815
0.08,1.9000000000000001,G3,0.039185247302218604
0.08,2.0,G1,0.0071803016390605936
0.08,2.0,G2,0.05886861026234604
0.08,2.0,G3,0.0377505229374698
0.1,0.0,G1,0.04195952659190789
0.1,0.0,G2,0.4438372438046619
0.1,0.0,G3,0.23271960325699248
0.1,0.1,G1,0.03616504925679158
0.1,0.1,G2,0.35616006395445315
0.1,0.1,G3,0.1996947994139936
0.1,0.2,G1,0.03132376031255179
0.1,0.2,G2,0.28961953786928263
0.1,0.2,G3,0.17224366051847856
0.1,0.30000000000000004,G1,0.027303598111142215
0.1,0.30000000000000004,G2,0.239488971129049
0.1,0.30000000000000004,G3,0.14952154161667092
0.1,0.4,G1,0.023981420326679867
0.1,0.4,G2,0.2019452090666457
0.1,0.4,G3,0.13079958354094268
0.1,0.5,G1,0.0212569936684114
0.1,0.5,G2,0.1738255180608227
0.1,0.5,G3,0.11542810614704592
0.1,0.6000000000000001,G1,0.0190212975429436
0.1,0.6000000000000001,G2,0.1525851634165297
0.1,0.6000000000000001,G3,0.10283301096720772
0.1,0.7000000000000001,G1,0.017185196359960134
0.1,0.7000000000000001,G2,0.13628968041290793
0.1,0.7000000000000001,G3,0.09249784882730236
0.1,0.8,G1,0.015669313592933328
0.1,0.8,G2,0.12354859938692422
0.1,0.8,G3,0.08398647725301703
0.1,0.9,G1,0.014403658412947726
0.1,0.9,G2,0.11339485787862781
0.1,0.9,G3,0.07693157854317416
0.1,1.0,G1,0.013341774781192039
0.1,1.0,G2,0.10515692478309717
0.1,1.0,G3,0.07103874609528615
0.1,1.1,G1,0.012439179557775567
0.1,1.1,G2,0.0983669055414099
0.1,1.1,G3,0.06607635165466352
0.1,1.2000000000000002,G1,0.011667786456467388
0.1,1.2000000000000002,G2,0.09269471525024496
0.1,1.2000000000000002,G3,0.061860321708193375
0.1,1.3,G1,0.011003394254806537
0.1,1.3,G2,0.08789751446981628
0.1,1.3,G3,0.058253634110783936
0.1,1.4000000000000001,G1,0.010426930794027692
0.1,1.4000000000000001,G2,0.08379606913742729
0.1,1.4000000000000001,G3,0.055143999584498886
0.1,1.5,G1,0.009920878894562179
0.1,1.5,G2,0.08025995723800243
0.1,1.5,G3,0.05244462223560802
0.1,1.6,G1,0.009477061994746858
0.1,1.6,G2,0.07718299249712794
0.1,1.6,G3,0.05008335752504711
0.1,1.7000000000000002,G1,0.009084694555763755
0.1,1.7000000000000002,G2,0.07448491311819827
0.1,1.7000000000000002,G3,0.0480099581603589
0.1,1.8,G1,0.008737128268465906
0.1,1.8,G2,0.07210685760503326
0.1,1.8,G3,0.046179084332895984
0.1,1.9000000000000001,G1,0.008422527455298152
0.1,1.9000000000000001,G2,0.06999610495861287
0.1,1.9000000000000001,G3,0.04455364385628809
0.1,2.0,G1,0.008141849760406567
0.1,2.0,G2,0.0681148988989591
0.1,2.0,G3,0.043104743047713626
0.12000000000000001,0.0,G1,0.04271986955220962
0.12000000000000001,0.0,G2,0.45190716679039167
0.12000000000000001,0.0,G3,0.2369507539667233
0.12000000000000001,0.1,G1,0.03693239072637836
0.12000000000000001,0.1,G2,0.36429658048899394
0.12000000000000001,0.1,G3,0.20394881019834893
0.12000000000000001,0.2,G1,0.03210584606444452
0.12000000000000001,0.2,G2,0.2979472598327664
0.12000000000000001,0.2,G3,0.17656523519932696
0.12000000000000001,0.30000000000000004,G1,0.028104892740842397
0.12000000000000001,0.30000000000000004,G2,0.24809043380962623
0.12000000000000001,0.30000000000000004,G3,0.15394888410364535
0.12000000000000001,0.4,G1,0.024812864480202812
0.12000000000000001,0.4,G2,0.21082741090143775
0.12000000000000001,0.4,G3,0.13535889948827387
0.12000000000000001,0.5,G1,0.022112587760363994
0.12000000000000001,0.5,G2,0.18293551338505565
0.12000000000000001,0.5,G3,0.12012849808050378
0.12000000000000001,0.6000000000000001,G1,0.019903249957045448
0.12000000000000001,0.6000000000000001,G2,0.16184370479042343
0.12000000000000001,0.6000000000000001,G3,0.10766784981501604
0.12000000000000001,0.7000000000000001,G1,0.01808574445956247
0.12000000000000001,0.7000000000000001,G2,0.14562912874453057
0.12000000000000001,0.7000000000000001,G3,0.09744846667031823
0.12000000000000001,0.8,G1,0.016585571963700554
